,City,Cloud Coverage (%),Country,Date,Humidity (%),Temperature (F),Latitude,Longitude,Wind Speed
0,albany,20,US,1586647210,28,46.99,42.6,-73.97,19.46
1,mataura,93,NZ,1586647259,62,62.01,-46.19,168.86,3.0
2,kodiak,90,US,1586647259,80,41.0,57.79,-152.41,18.34
3,evensk,100,RU,1586647259,88,13.01,61.95,159.23,2.46
4,puerto ayora,75,EC,1586647259,70,84.2,-0.74,-90.35,10.29
5,chumikan,50,RU,1586647260,67,41.13,54.72,135.31,7.81
6,arraial do cabo,99,BR,1586647063,73,73.24,-22.97,-42.03,4.52
7,provideniya,100,RU,1586647066,92,32.81,64.38,-173.3,6.91
8,punta arenas,49,CL,1586647041,65,46.4,-53.15,-70.92,5.82
9,chuy,17,UY,1586647261,76,62.35,-33.7,-53.46,6.42
10,boma,66,GH,1586647261,84,75.43,7.08,-2.17,2.28
11,alice springs,41,AU,1586647261,31,64.4,-23.7,133.88,3.36
12,srednekolymsk,82,RU,1586647012,96,28.29,67.45,153.68,12.66
13,narsaq,100,GL,1586647261,39,46.4,60.92,-46.05,38.03
14,kahului,40,US,1586647089,58,82.4,20.89,-156.47,12.75
15,rikitea,62,PF,1586647050,75,78.12,-23.12,-134.97,5.64
16,busselton,84,AU,1586647206,68,71.01,-33.65,115.33,9.33
17,nome,90,US,1586647262,86,30.2,64.5,-165.41,11.41
18,vilyuysk,99,RU,1586647263,97,30.72,63.76,121.62,12.37
19,torbay,75,CA,1586647211,69,36.0,47.67,-52.73,25.28
20,upata,99,VE,1586647124,53,78.91,8.01,-62.4,8.41
21,bluff,82,NZ,1586647263,62,62.01,-46.6,168.33,3.0
22,havelock,1,US,1586647197,47,62.6,34.88,-76.9,11.41
23,thompson,90,CA,1586647094,73,23.0,55.74,-97.86,16.11
24,saint george,1,US,1586647129,32,69.8,37.1,-113.58,16.11
25,victoria,20,HK,1586647111,68,66.0,22.29,114.16,16.11
26,nabisar,78,PK,1586647264,33,82.51,25.07,69.64,9.33
27,golden,75,US,1586647264,11,71.01,39.76,-105.22,23.04
28,tuktoyaktuk,20,CA,1586647265,92,5.0,69.45,-133.04,10.29
29,waipawa,29,NZ,1586647265,67,63.0,-41.41,175.52,24.16
30,san patricio,40,MX,1586647265,74,86.0,19.22,-104.7,9.17
31,sumbe,47,AO,1586647265,86,77.79,-11.21,13.84,3.58
32,butaritari,88,KI,1586647266,74,84.04,3.07,172.79,10.36
33,la libertad,100,EC,1586647266,83,80.6,-2.23,-80.9,10.29
34,klyuchi,3,RU,1586647266,76,36.34,52.27,79.17,6.17
35,rio grande,0,BR,1586647203,85,62.01,-32.03,-52.1,10.0
36,yellowknife,75,CA,1586647212,52,19.4,62.46,-114.35,18.34
37,khatanga,66,RU,1586647174,94,8.1,71.97,102.5,8.23
38,ibra,12,OM,1586647268,51,74.55,22.69,58.53,4.68
39,ribeira grande,0,PT,1586647065,73,61.66,38.52,-28.7,6.62
40,upernavik,100,GL,1586647084,88,19.35,72.79,-56.15,1.74
41,lompoc,75,US,1586647269,72,71.01,34.64,-120.46,14.99
42,vaini,20,TO,1586647269,65,82.4,-21.2,-175.2,5.82
43,lasa,5,IT,1586647244,75,48.99,46.62,10.7,4.7
44,palampur,36,IN,1586647269,19,60.21,32.12,76.53,6.42
45,brive-la-gaillarde,23,FR,1586647033,58,55.99,45.25,1.5,3.0
46,necochea,93,AR,1586647270,72,62.01,-38.55,-58.74,7.0
47,dingle,28,PH,1586647270,71,81.97,11.0,122.67,4.68
48,krasnoselkup,100,RU,1586647270,97,35.56,65.7,82.47,20.0
49,hammerfest,100,NO,1586647233,80,30.2,70.66,23.68,6.93
50,jamestown,1,US,1586646995,48,46.99,42.1,-79.24,11.41
51,mirandola,0,IT,1586647271,54,61.0,44.89,11.07,3.36
52,coihaique,40,CL,1586647214,57,48.2,-45.58,-72.07,4.7
53,cidreira,4,BR,1586647113,70,65.75,-30.18,-50.21,5.32
54,hithadhoo,5,MV,1586647180,67,84.36,-0.6,73.08,8.81
55,chokurdakh,99,RU,1586647090,98,29.12,70.63,147.92,13.47
56,bethel,20,US,1586647272,26,53.6,41.37,-73.41,9.17
57,peterhead,92,GB,1586647272,66,53.01,57.51,-1.8,5.82
58,livingston,75,GB,1586647273,81,52.0,55.9,-3.52,12.75
59,ghanzi,6,BW,1586647273,49,66.76,-21.57,21.78,2.89
60,camacha,40,PT,1586647273,72,62.6,33.08,-16.33,14.99
61,port elizabeth,92,ZA,1586647243,63,62.6,-33.92,25.57,5.82
62,lebu,0,CL,1586647069,70,53.51,-37.62,-73.65,15.1
63,san quintin,17,MX,1586647102,73,61.59,30.48,-115.95,17.52
64,khorixas,14,NA,1586647274,42,75.47,-20.37,14.97,3.98
65,ancud,20,CL,1586647179,75,46.4,-41.87,-73.82,6.93
66,namatanai,100,PG,1586647094,73,83.75,-3.67,152.43,1.79
67,stornoway,100,GB,1586647274,87,44.01,58.21,-6.39,8.05
68,hasaki,75,JP,1586647275,93,48.99,35.73,140.83,10.29
69,eloy,1,US,1586647275,51,68.0,32.76,-111.55,14.99
70,atuona,48,PF,1586647275,66,82.89,-9.8,-139.03,5.77
71,boa vista,40,BR,1586647275,49,89.6,2.82,-60.67,11.41
72,nisia floresta,40,BR,1586647275,78,82.4,-6.09,-35.21,9.17
73,fortuna,75,US,1586647105,87,64.0,40.6,-124.16,13.87
74,bernau,93,DE,1586647276,60,50.0,52.68,13.59,2.24
75,khash,97,IR,1586647276,23,69.12,28.22,61.22,4.23
76,hilo,1,US,1586647218,65,82.4,19.73,-155.09,12.75
77,tornio,85,FI,1586647276,85,24.8,65.85,24.15,5.82
78,tasiilaq,85,GL,1586647277,53,26.6,65.61,-37.64,12.75
79,lodwar,83,KE,1586647277,40,85.86,3.12,35.6,16.28
80,cape town,90,ZA,1586647098,93,64.99,-33.93,18.42,19.46
81,kaitangata,96,NZ,1586647104,56,61.84,-46.28,169.85,10.56
82,esperance,99,AU,1586647216,60,69.8,-33.87,121.9,19.46
83,kolvereid,100,NO,1586647278,90,34.21,64.87,11.6,12.8
84,puerto del rosario,24,ES,1586647152,68,66.2,28.5,-13.86,12.75
85,saint-philippe,26,RE,1586647278,78,77.0,-21.36,55.77,5.82
86,san marcos,1,US,1586647278,59,69.01,33.14,-117.17,9.17
87,norman wells,75,CA,1586647210,53,26.6,65.28,-126.83,10.29
88,broome,1,US,1586647093,33,46.99,42.25,-75.83,8.05
89,shuangcheng,26,CN,1586647279,74,30.2,45.35,126.28,1.86
90,ushuaia,40,AR,1586647279,75,41.0,-54.8,-68.3,23.04
91,angoche,57,MZ,1586647280,81,73.15,-16.23,39.91,5.3
92,port alfred,80,ZA,1586647280,93,63.0,-33.59,26.89,1.99
93,constitucion,61,CL,1586647087,83,52.86,-35.33,-72.42,11.39
94,makakilo city,40,US,1586647088,65,82.4,21.35,-158.09,10.29
95,vila velha,90,BR,1586647120,83,77.0,-20.33,-40.29,8.05
96,avarua,98,CK,1586647281,88,82.4,-21.21,-159.78,8.05
97,bombay,20,IN,1586647102,83,82.4,19.01,72.85,5.82
98,jertih,20,MY,1586647281,88,80.6,5.73,102.49,4.7
99,alofi,98,NU,1586647116,66,84.2,-19.06,-169.92,10.29
100,qaanaaq,88,GL,1586647037,72,11.8,77.48,-69.36,3.24
101,khasan,35,RU,1586647282,68,40.78,42.43,130.64,2.73
102,nikolskoye,3,RU,1586647282,92,26.6,59.7,30.79,2.24
103,derzhavinsk,98,KZ,1586647283,64,40.55,51.1,66.32,7.96
104,kushima,90,JP,1586647283,82,55.4,31.46,131.23,3.36
105,bredasdorp,100,ZA,1586647086,52,69.8,-34.53,20.04,23.04
106,magaria,87,NE,1586647283,15,79.12,13.0,8.91,7.81
107,saint-francois,10,FR,1586647126,76,55.0,46.42,3.91,2.89
108,anajatuba,91,BR,1586647284,95,76.84,-3.26,-44.62,2.93
109,clyde river,75,CA,1586647065,84,6.8,70.47,-68.59,11.41
110,auki,91,SB,1586647284,67,85.33,-8.77,160.7,2.66
111,parkes,0,AU,1586647285,53,54.34,-33.13,148.18,6.46
112,new norfolk,75,AU,1586647285,58,57.0,-42.78,147.06,13.87
113,casas grandes,0,MX,1586647285,16,61.5,30.37,-107.95,25.77
114,asyut,0,EG,1586647285,44,60.8,27.18,31.18,8.05
115,wanning,99,CN,1586647176,87,75.09,18.8,110.4,14.81
116,koulikoro,66,ML,1586647286,31,86.16,14.0,-7.75,6.49
117,sao jose da coroa grande,4,BR,1586647286,78,80.98,-8.9,-35.15,8.5
118,anadyr,75,RU,1586647286,84,5.0,64.75,177.48,13.42
119,mar del plata,69,AR,1586647039,67,62.6,-38.0,-57.56,6.93
120,hobart,75,AU,1586646987,58,57.0,-42.88,147.33,13.87
121,vila franca do campo,20,PT,1586647287,82,57.2,37.72,-25.43,12.75
122,kayes,29,ML,1586647103,12,88.52,14.0,-11.0,3.78
123,avdon,40,RU,1586647287,86,39.2,54.67,55.72,6.71
124,changli,0,CN,1586647288,33,56.52,39.7,119.15,16.24
125,kavieng,93,PG,1586647233,72,83.82,-2.57,150.8,2.33
126,muli,5,MV,1586647288,62,84.78,2.92,73.57,5.19
127,iqaluit,90,CA,1586647288,73,24.8,63.75,-68.51,13.87
128,sabang,42,ID,1586647289,74,83.26,5.89,95.32,6.67
129,kaili,94,ID,1586647289,67,74.95,-3.46,120.21,3.8
130,meulaboh,47,ID,1586647196,78,80.38,4.14,96.13,0.58
131,cabo san lucas,75,MX,1586647082,56,77.0,22.89,-109.91,17.22
132,marawi,54,PH,1586647290,56,77.27,8.0,124.29,1.95
133,mayo,1,US,1586647290,26,62.01,38.89,-76.51,10.29
134,tiksi,66,RU,1586647146,91,8.04,71.69,128.87,18.25
135,ostrovnoy,28,RU,1586647200,93,15.42,68.05,39.51,12.17
136,kieta,91,PG,1586647290,65,86.38,-6.22,155.63,2.8
137,roura,20,GF,1586647291,74,80.6,4.73,-52.33,6.93
138,pasni,45,PK,1586647291,76,76.19,25.26,63.47,2.51
139,maceio,31,BR,1586647199,88,78.8,-9.67,-35.74,5.82
140,bambous virieux,75,MU,1586647044,83,79.0,-20.34,57.76,5.82
141,tuatapere,56,NZ,1586647146,63,60.01,-46.13,167.68,4.0
142,malpe,13,IN,1586647288,84,79.65,13.35,74.72,3.53
143,touros,40,BR,1586647240,88,80.6,-5.2,-35.46,5.82
144,hamilton,1,US,1586647292,33,61.0,39.18,-84.53,9.17
145,dmitrovsk-orlovskiy,0,RU,1586647292,85,31.64,52.51,35.15,12.03
146,asau,63,RO,1586647117,56,41.0,46.43,26.4,2.24
147,takhtamygda,10,RU,1586647293,65,41.94,54.1,123.57,2.55
148,westport,20,US,1586647284,23,54.0,41.14,-73.36,13.87
149,barrow,90,US,1586647293,85,21.2,71.29,-156.79,13.87
150,fairbanks,1,US,1586647294,30,44.6,64.84,-147.72,5.82
